"metric","value"
"samples",311
"accuracy",0.553054662379421
"brier_score",0.547338723319176
"log_loss",0.926523578187015
"actual_draw_rate",0.247588424437299
"mean_predicted_draw_probability",0.235500700011141
"draw_calibration_multiplier",1.13680752812437
"confusion_H_pred_H",134
"confusion_H_pred_D",0
"confusion_H_pred_A",20
"confusion_D_pred_H",54
"confusion_D_pred_D",0
"confusion_D_pred_A",23
"confusion_A_pred_H",42
"confusion_A_pred_D",0
"confusion_A_pred_A",38
