"outcome","observation","fitted","deviance_residual","pearson_residual","cooks_distance"
"home",1,1.33245933326075,-0.243028534408508,-0.232203213807602,1.56437685177113e-06
"home",2,1.46024782446116,-1.37779612853263,-0.974248985577997,2.02553181202108e-05
"home",3,1.33245933326075,2.38099042522318,3.26000155497062,0.000308347578987087
"home",4,1.46024782446116,-1.37779612853263,-0.974248985577997,2.02553181202108e-05
"home",5,1.33245933326075,-0.243028534408508,-0.232203213807602,1.56437685177233e-06
"home",6,1.12980909927521,-0.100441751141534,-0.0984598751362576,4.75558607776215e-07
"home",7,1.46024782446116,-1.37779612853263,-0.974248985577997,2.02553181202111e-05
"home",8,1.33245933326075,-1.31612960351136,-0.930644167563246,2.51288288432865e-05
"home",9,1.45788993836526,1.81362481979081,2.20814873424096,7.23832665333053e-05
"home",10,1.46024782446116,-0.32578237900962,-0.307068408926565,2.01219201507576e-06
"home",11,0.923949963918924,-1.42572434945246,-1.00813935560061,0.000268738555168408
"home",12,1.33245933326075,0.433717965145993,0.466237739948042,6.30695566645034e-06
"home",13,1.45788993836526,-0.421876226610645,-0.39773615748672,2.34839788191762e-06
"home",14,1.45788993836526,0.44547596031509,0.470892139755841,3.29173158663344e-06
"home",15,1.45788993836526,-0.421876226610645,-0.39773615748672,2.34839788191762e-06
"home",16,1.40842526965613,-0.380915532259356,-0.360945841643061,1.90190278623196e-05
"home",17,1.45788993836526,-1.79090978678536,-1.26636445472928,2.38066866896152e-05
"home",18,1.45788993836526,-0.421876226610645,-0.39773615748672,2.34839788191762e-06
"home",19,1.47688360082645,0.4281133831209,0.451462355772309,9.4196909604823e-06
"home",20,1.28345300035526,-1.29170000404964,-0.913369832122191,8.41898104675624e-05
"home",21,1.46024782446116,-0.32578237900962,-0.307068408926565,2.01219201507576e-06
"home",22,1.33040994457141,-0.241660230651077,-0.230949511075165,1.83705194605172e-06
"home",23,1.33245933326075,1.49946348813618,1.86311964745933,0.000100713205714383
"home",24,1.49209354641176,1.69502223994694,2.05311514694377,0.000143596149096835
"home",25,1.42172614578763,-1.68625392262709,-1.19236158349203,0.000170897497694673
"home",26,1.5667481594564,1.01545883161513,1.14504594094308,9.85559623932107e-05
"home",27,1.34609817828493,1.22499349898098,1.42551357468387,0.000280030025516371
"home",28,1.14692199026467,0.719795392685924,0.796566076727036,0.000109618666932143
"home",29,1.18894186974382,-1.54203882554481,-1.09038611039568,6.74675925751358e-05
"home",30,1.35004553182485,-0.315934210447675,-0.301266145193143,1.85377046820174e-05
"home",31,1.16227997263921,0.703998855573368,0.777040259903256,6.77636600099281e-05
"home",32,1.87980886992637,-1.93897337265181,-1.37106122034225,0.000172335189828834
"home",33,1.26446030920714,1.30871003731753,1.54341227302637,0.000217670037589098
"home",34,1.68669895299952,0.733812341262211,0.815271350725304,2.22307188970791e-05
"home",35,1.50237657123816,0.386198037553569,0.405986336980444,3.39606646002532e-05
"home",36,1.05421354759238,-0.0532637056786362,-0.0528011681531604,1.94105605248037e-07
"home",37,1.27661823868445,1.29600259468097,1.5252848972367,0.000110758366664264
"home",38,1.43805107389556,-1.69590747029168,-1.19918767250817,0.000321368584236323
"home",39,2.20861052744135,-0.912411015117803,-0.813255115672026,6.8612629916026e-05
"home",40,1.36597141582023,-0.345010545887415,-0.328414786900604,4.31815058755079e-06
"home",41,1.75851148089972,-1.87537275276128,-1.32608879072999,0.000217841398837109
"home",42,1.80512850080962,-1.53188349787199,-1.08320520933305,0.000110537280109689
"home",43,1.21528797019524,1.36101554183043,1.61893179146599,0.000122005838913091
"home",44,1.66056201903635,-1.82239513774392,-1.28862795990012,7.15473875637986e-05
"home",45,1.46024782446116,0.340776781196551,0.360112167724866,2.76741783578037e-06
"home",46,1.46069780596903,0.422288113551603,0.446223048259407,1.90667078632619e-05
"home",47,1.39954602455098,1.17212554189743,1.35284984770981,0.000146727597836399
"home",48,1.40201598622691,-1.35004473336811,-0.954625785869777,6.48507691763108e-05
"home",49,1.60792538351379,-0.515714295169575,-0.479421307288749,1.21210453657265e-05
"home",50,1.00852128658598,1.67737464875735,2.07983784612878,0.00041382271968577
"home",51,1.24908811503371,0.617340946174947,0.67188112398897,4.26333157501009e-05
"home",52,1.55158735814423,-0.473938496472434,-0.442818939775485,2.93303247539937e-05
"home",53,1.45896666381452,-1.37719158542262,-0.973821509045387,3.84937363322031e-05
"home",54,1.60912324855189,2.64784564377265,3.46143827967803,0.00239123897112902
"home",55,1.81994503075419,-0.536171943414692,-0.490018279457575,5.68080935130627e-05
"home",56,1.58904717942943,-0.40458173631316,-0.376737076414722,2.2566169452133e-05
"home",57,1.59066614042477,-1.78362896389623,-1.26121613549176,7.13796020193913e-05
"home",58,1.57456527575833,0.325272806439825,0.339041296082491,6.23035839546378e-06
"home",59,1.50610345790453,1.07085279232123,1.21728737893391,0.000143370548100362
"home",60,1.26603867820568,-1.59125024946152,-1.12518384195903,5.63482059931298e-05
"home",61,1.46024782446116,0.897967737519622,1.0272927443763,2.2520995582325e-05
"home",62,3.18347382080236,-0.0837209913514405,-0.0829048889795136,1.15494819158813e-06
"home",63,1.05972493415332,-1.45583304959966,-1.02942942164741,5.30644167511613e-05
"home",64,1.27501697972693,-0.253209335421623,-0.243557509247454,1.68369720556558e-06
"home",65,1.59144816557707,-0.503594614561097,-0.468835447458294,6.93173452946224e-06
"home",66,1.0735401650451,-1.46529189245358,-1.0361178335716,6.3217240630544e-05
"home",67,1.3418882311658,-0.249306289056128,-0.237948328091562,8.22079547817448e-06
"home",68,1.30573741006369,-1.30286554681701,-0.921265063128628,6.08822243795095e-05
"home",69,1.38981952190847,-1.66722495297333,-1.17890607001087,2.4160677185081e-05
"home",70,2.06805721584407,1.72174252460538,2.03879808012208,0.000617981674256993
"home",71,1.24017408199728,0.504732012089677,0.55008456145142,2.10192849240135e-05
"home",72,1.3496707082989,1.22141364455109,1.42055056353702,0.000190107616957926
"home",73,2.92025495201541,0.0464552173934004,0.0466652223163609,2.56234257760371e-07
"home",74,0.690585569975591,-1.1752323770009,-0.831014783247321,5.48452039218263e-05
"home",75,1.66658710655195,-0.558227946262441,-0.516348476864755,1.05533263942701e-05
"home",76,1.45841358380917,-1.70787211688064,-1.20764795524572,1.76408805755832e-05
"home",77,1.35001376360255,-0.315908138366311,-0.301242348243053,1.25184193669398e-05
"home",78,1.35211206783039,-0.317629353926064,-0.302813034484044,4.61154405418556e-06
"home",79,0.928878977960701,0.0728806958908014,0.0737935531213754,4.86165175394226e-07
"home",80,1.00444927537567,-0.00444269376537792,-0.00443941025728324,2.00095594657644e-09
"home",81,1.04883035866023,-0.0387451594016894,-0.0384409372327493,5.37863128479951e-08
"home",82,1.28626932472137,-1.60391354176051,-1.13413814181579,5.89948327328019e-05
"home",83,1.08732878985394,1.50465513985747,1.83425569950053,0.000225465142512064
"home",84,1.1203191679787,1.46650276891882,1.77587841848767,0.000178733892998763
