"model","parameters","home_aic","away_aic","home_bic","away_bic","home_residual_deviance","away_residual_deviance","validation_samples","validation_accuracy","validation_brier","validation_log_loss","draw_multiplier"
"elo",4,45011.5528433406,38784.367666975,45026.7172028455,38799.5320264798,19102.0662503218,18357.3051753436,311,0.543408360128617,0.547776240062109,0.924561416521689,1.17253866703821
"context",10,44988.2072835791,38534.8759635199,45026.1181823413,38572.7868622821,19072.72069056,18101.8134718883,311,0.546623794212219,0.544614893797463,0.918727498867029,1.17959298503099
"form",14,44321.5412254858,38002.0624978076,44374.6164837529,38055.1377560746,18402.054632467,17565.0000061761,311,0.546623794212219,0.547012352893289,0.926693604775668,1.14925871981248
"full",18,44266.6169393363,37885.5697226537,44334.8565571082,37953.8093404257,18343.1303463172,17444.5072310223,311,0.553054662379421,0.547338723319176,0.926523578187015,1.13680752812437
