"outcome","samples","parameters","null_deviance","null_df","residual_deviance","residual_df","aic","bic","pearson_dispersion","mcfadden_like_deviance_reduction"
"home",14504,9,23018.3484850544,14503,18343.1303463172,14495,44266.6169393363,44334.8565571082,1.22721793012097,0.20310832211845
"away",14504,9,21540.5339710481,14503,17444.5072310223,14495,37885.5697226537,37953.8093404257,1.22587257979358,0.190154373402774
