"outcome","term","estimate","std_error","z_value","p_value","significance"
"home","(Intercept)",0.285769451891216,0.0129707318088098,22.0318680629199,1.42570843060928e-107,"***"
"home","elo_diff",0.759961421437423,0.0190433784027818,39.9068592433373,0,"***"
"home","home_field",0.0915798066339376,0.0150136993435233,6.09974960457988,1.06234748820482e-09,"***"
"home","host_country_diff",0.0845284142874961,0.0351508336943642,2.40473426668821,0.0161842293712339,"*"
"home","tournament_importance",-0.00359115877724048,0.0316683993709198,-0.113398809178153,0.909714383761066,""
"home","recent_win_rate_diff",-0.229062438104676,0.0401976990875697,-5.69839675663198,1.20939336666748e-08,"***"
"home","recent_goal_diff_diff",0.105022583286702,0.00601648780700981,17.4557959154078,3.11012322897262e-68,"***"
"home","home_attack_vs_away_defense",-0.0466203312517151,0.00624942735870778,-7.4599364991027,8.65641892689002e-14,"***"
"home","away_attack_vs_home_defense",0.023493411871185,0.00810711118878629,2.89787710123933,0.00375697778517605,"**"
"away","(Intercept)",0.197011443076009,0.0137656071180174,14.3118600862977,1.8451136551466e-46,"***"
"away","elo_diff",-0.776765123603969,0.0228348181262783,-34.0166985043804,1.26192044807935e-253,"***"
"away","home_field",-0.23146847178827,0.0168022277016572,-13.7760585023759,3.55139303114335e-43,"***"
"away","host_country_diff",-0.133363959059439,0.043402812809533,-3.07270313665356,0.0021212940002847,"**"
"away","tournament_importance",0.109833584909076,0.0390207087515931,2.81475115196598,0.00488150174458924,"**"
"away","recent_win_rate_diff",0.219798567669131,0.0479179297163489,4.58697963309836,4.49704532607721e-06,"***"
"away","recent_goal_diff_diff",-0.116210504914893,0.00722690689846427,-16.0802548791085,3.5093217283118e-58,"***"
"away","home_attack_vs_away_defense",0.0156625431776388,0.00940336420620948,1.6656318775036,0.0957867578729813,"."
"away","away_attack_vs_home_defense",-0.0696253640148208,0.00726967545828708,-9.57750650827902,9.94160533348936e-22,"***"
