"threshold","tpr","fpr"
1,0,0
0.963611827169353,0.00649350649350649,0
0.950868956264213,0.00649350649350649,0.00636942675159236
0.9480161592774,0.012987012987013,0.00636942675159236
0.946094321704581,0.0194805194805195,0.00636942675159236
0.944181180575048,0.025974025974026,0.00636942675159236
0.936353680282986,0.0324675324675325,0.00636942675159236
0.935679432037252,0.038961038961039,0.00636942675159236
0.931826357050887,0.0454545454545455,0.00636942675159236
0.927829582352221,0.051948051948052,0.00636942675159236
0.918656278080056,0.0584415584415584,0.00636942675159236
0.915308314110538,0.0649350649350649,0.00636942675159236
0.901933901874679,0.0649350649350649,0.0127388535031847
0.890762077365534,0.0714285714285714,0.0127388535031847
0.889873872333616,0.0779220779220779,0.0127388535031847
0.889572737769677,0.0844155844155844,0.0127388535031847
0.881200236650304,0.0909090909090909,0.0127388535031847
0.879092028329988,0.0909090909090909,0.0191082802547771
0.878115617077196,0.0974025974025974,0.0191082802547771
0.872336679558147,0.103896103896104,0.0191082802547771
0.871172234045569,0.11038961038961,0.0191082802547771
0.869098394268184,0.11038961038961,0.0254777070063694
0.851057098884358,0.116883116883117,0.0254777070063694
0.84856838571655,0.123376623376623,0.0254777070063694
0.843594410653934,0.12987012987013,0.0254777070063694
0.84019883280812,0.12987012987013,0.0318471337579618
0.829992185230956,0.136363636363636,0.0318471337579618
0.827425437417226,0.136363636363636,0.0382165605095541
0.824079271460076,0.142857142857143,0.0382165605095541
0.823101457912254,0.149350649350649,0.0382165605095541
0.821452036941744,0.155844155844156,0.0382165605095541
0.820945255669099,0.162337662337662,0.0382165605095541
0.819921474253417,0.168831168831169,0.0382165605095541
0.815532003773936,0.175324675324675,0.0382165605095541
0.813999046524402,0.181818181818182,0.0382165605095541
0.808949265718545,0.181818181818182,0.0445859872611465
0.807392650674258,0.188311688311688,0.0445859872611465
0.802851205528348,0.194805194805195,0.0445859872611465
0.802839312468209,0.201298701298701,0.0445859872611465
0.802254851215624,0.207792207792208,0.0445859872611465
0.80222950711552,0.214285714285714,0.0445859872611465
0.798793261879297,0.220779220779221,0.0445859872611465
0.796310841967901,0.227272727272727,0.0445859872611465
0.794112772256713,0.227272727272727,0.0509554140127389
0.791444900732761,0.233766233766234,0.0509554140127389
0.790391913963758,0.24025974025974,0.0509554140127389
0.789995769989364,0.246753246753247,0.0509554140127389
0.787998889129345,0.246753246753247,0.0573248407643312
0.784326997675302,0.253246753246753,0.0573248407643312
0.781636189371254,0.25974025974026,0.0573248407643312
0.779984539439671,0.266233766233766,0.0573248407643312
0.776812979893335,0.266233766233766,0.0636942675159236
0.775278634226147,0.272727272727273,0.0636942675159236
0.767751159492876,0.279220779220779,0.0636942675159236
0.765564204461351,0.285714285714286,0.0636942675159236
0.762557658167184,0.285714285714286,0.0700636942675159
0.760074299880845,0.292207792207792,0.0700636942675159
0.759395910577535,0.298701298701299,0.0700636942675159
0.75329044531197,0.305194805194805,0.0700636942675159
0.75317869525311,0.311688311688312,0.0700636942675159
0.751215392690347,0.318181818181818,0.0700636942675159
0.742588820507325,0.324675324675325,0.0700636942675159
0.742372074389033,0.331168831168831,0.0700636942675159
0.740458704918272,0.337662337662338,0.0700636942675159
0.735687951143223,0.337662337662338,0.0764331210191083
0.735250964710242,0.344155844155844,0.0764331210191083
0.72829146684237,0.350649350649351,0.0764331210191083
0.727804308728464,0.357142857142857,0.0764331210191083
0.725776690506328,0.363636363636364,0.0764331210191083
0.723251152863232,0.37012987012987,0.0764331210191083
0.721332320817071,0.37012987012987,0.0828025477707006
0.712905279135093,0.376623376623377,0.0828025477707006
0.712564310470975,0.383116883116883,0.0828025477707006
0.710673140244841,0.38961038961039,0.0828025477707006
0.709801205412028,0.38961038961039,0.089171974522293
0.7084217051054,0.396103896103896,0.089171974522293
0.704838871369236,0.396103896103896,0.0955414012738854
0.704447180839168,0.402597402597403,0.0955414012738854
0.703335201757238,0.409090909090909,0.0955414012738854
0.696816574291017,0.409090909090909,0.101910828025478
0.695726225575648,0.415584415584416,0.101910828025478
0.691441544023931,0.422077922077922,0.101910828025478
0.687774741891271,0.422077922077922,0.10828025477707
0.686573742439011,0.428571428571429,0.10828025477707
0.680397192638725,0.428571428571429,0.114649681528662
0.679985301319828,0.435064935064935,0.114649681528662
0.678596551715,0.435064935064935,0.121019108280255
0.67633707164983,0.435064935064935,0.127388535031847
0.665928213423352,0.435064935064935,0.133757961783439
0.663560231387722,0.435064935064935,0.140127388535032
0.662616995042009,0.435064935064935,0.146496815286624
0.660172149124496,0.441558441558442,0.146496815286624
0.658961199698274,0.441558441558442,0.152866242038217
0.658909739801961,0.448051948051948,0.152866242038217
0.655468071981024,0.448051948051948,0.159235668789809
0.654724793098965,0.454545454545455,0.159235668789809
0.652256248424684,0.454545454545455,0.165605095541401
0.652192928942882,0.461038961038961,0.165605095541401
0.650151904560337,0.467532467532468,0.165605095541401
0.635523349234086,0.474025974025974,0.165605095541401
0.633261021647978,0.48051948051948,0.165605095541401
0.631275891363306,0.48051948051948,0.171974522292994
0.630977385593248,0.487012987012987,0.171974522292994
0.629303407164574,0.493506493506494,0.171974522292994
0.619106054752018,0.5,0.171974522292994
0.618637103400593,0.506493506493506,0.171974522292994
0.618298654446259,0.512987012987013,0.171974522292994
0.611417398886106,0.512987012987013,0.178343949044586
0.610941638777969,0.512987012987013,0.184713375796178
0.603469989093463,0.512987012987013,0.191082802547771
0.600625214554414,0.519480519480519,0.191082802547771
0.600199775051734,0.519480519480519,0.197452229299363
0.600103253687028,0.519480519480519,0.203821656050955
0.597744657150846,0.525974025974026,0.203821656050955
0.59403776717897,0.532467532467532,0.203821656050955
0.589338011392702,0.538961038961039,0.203821656050955
0.587171996759912,0.545454545454545,0.203821656050955
0.583488933680718,0.551948051948052,0.203821656050955
0.581034264450044,0.558441558441558,0.203821656050955
0.578548040678074,0.564935064935065,0.203821656050955
0.578458910740923,0.564935064935065,0.210191082802548
0.57554325563843,0.571428571428571,0.210191082802548
0.572504532596978,0.577922077922078,0.210191082802548
0.57234901322688,0.584415584415584,0.210191082802548
0.57176781079405,0.584415584415584,0.21656050955414
0.569612236257256,0.590909090909091,0.21656050955414
0.569290359668063,0.590909090909091,0.222929936305732
0.565866609479793,0.597402597402597,0.222929936305732
0.565220267432129,0.597402597402597,0.229299363057325
0.563612201914587,0.597402597402597,0.235668789808917
0.561826671440027,0.603896103896104,0.235668789808917
0.561522061779119,0.603896103896104,0.24203821656051
0.560593449663876,0.61038961038961,0.24203821656051
0.559408068277485,0.61038961038961,0.248407643312102
0.552637319368605,0.61038961038961,0.254777070063694
0.55217383725286,0.616883116883117,0.254777070063694
0.547850954667145,0.616883116883117,0.261146496815287
0.546182495225396,0.616883116883117,0.267515923566879
0.543816064308198,0.623376623376623,0.267515923566879
0.543411582641624,0.623376623376623,0.273885350318471
0.542609258573666,0.623376623376623,0.280254777070064
0.539903492717173,0.623376623376623,0.286624203821656
0.538222035591,0.62987012987013,0.286624203821656
0.536512974586813,0.62987012987013,0.292993630573248
